date,symbol,currency,price
2024-02-04,LITHIUM,USD,2.2172896551724
2024-02-05,LITHIUM,USD,2.2172896551724
2024-02-11,LITHIUM,USD,2.2172896551724
2024-02-12,LITHIUM,USD,2.2172896551724
2024-02-18,LITHIUM,USD,2.2172896551724
2024-02-19,LITHIUM,USD,2.2172896551724
2024-02-25,LITHIUM,USD,2.2172896551724
2024-02-26,LITHIUM,USD,2.2172896551724
2024-03-03,LITHIUM,USD,2.2172896551724
2024-03-04,LITHIUM,USD,2.2172896551724
2024-03-10,LITHIUM,USD,2.1723445945946
2024-03-11,LITHIUM,USD,2.1723445945946
2024-03-17,LITHIUM,USD,2.14338
2024-03-18,LITHIUM,USD,2.14338
2024-03-24,LITHIUM,USD,2.14338
2024-03-25,LITHIUM,USD,2.14338
2024-03-31,LITHIUM,USD,2.14338
2024-04-01,LITHIUM,USD,2.14338
2024-04-07,LITHIUM,USD,2.14338
2024-04-08,LITHIUM,USD,2.14338
2024-04-14,LITHIUM,USD,2.14338
2024-04-15,LITHIUM,USD,2.14338
2024-04-21,LITHIUM,USD,2.2172896551724
2024-04-22,LITHIUM,USD,2.2172896551724
2024-04-28,LITHIUM,USD,2.2561894736842
2024-04-29,LITHIUM,USD,2.2561894736842
2024-05-05,LITHIUM,USD,2.2561894736842
2024-05-06,LITHIUM,USD,2.2561894736842
2024-05-12,LITHIUM,USD,2.2721342756184
2024-05-13,LITHIUM,USD,2.2721342756184
2024-05-19,LITHIUM,USD,2.3382327272727
2024-05-20,LITHIUM,USD,2.3382327272727
2024-05-26,LITHIUM,USD,2.3382327272727
2024-05-27,LITHIUM,USD,2.3382327272727
2024-06-09,LITHIUM,USD,2.8216020032001
2024-06-10,LITHIUM,USD,2.8033230512735
2024-06-16,LITHIUM,USD,2.8934251237988
2024-06-17,LITHIUM,USD,2.8742161808932
2024-06-23,LITHIUM,USD,3.0275738115799
2024-06-24,LITHIUM,USD,3.0272680496454
2024-06-30,LITHIUM,USD,3.0922618079099
2024-07-01,LITHIUM,USD,3.0921908914355
2024-07-07,LITHIUM,USD,3.109709349909
2024-07-08,LITHIUM,USD,3.1097007912911
2024-07-14,LITHIUM,USD,3.1113856506214
2024-07-15,LITHIUM,USD,3.1113127021898
2024-07-21,LITHIUM,USD,3.163953764343
2024-07-22,LITHIUM,USD,3.1639203980259
